Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Chi,Esito,Field Position,Casella di gruppo,Squadra,Piede
Lancio (10),1:12:46.900,0:00:10.000,04/01/2025,Lancio,giovi,scanta,ricky,fabri,,,Fuori,,,Noi,
Tiro (33),1:13:05.566,0:00:07.000,04/01/2025,Tiro,giovi,scanta,ricky,fabri,deba,,Parata,8,,Loro,Dx
Laterale (30),1:13:22.600,0:00:07.000,04/01/2025,Laterale,giovi,scanta,ricky,fabri,deba,,,0,,Noi,
Laterale (31),1:13:32.700,0:00:07.000,04/01/2025,Laterale,giovi,scanta,ricky,fabri,deba,,,0,,Loro,
Palla recuperata (25),1:13:47.700,0:00:10.000,04/01/2025,Palla recuperata,giovi,scanta,ricky,fabri,deba,fabri,Fuori,1,,,
Laterale (32),1:14:00.500,0:00:07.000,04/01/2025,Laterale,giovi,scanta,ricky,fabri,deba,,,1,,Loro,
Palla recuperata (26),1:14:05.933,0:00:10.000,04/01/2025,Palla recuperata,giovi,scanta,ricky,fabri,deba,mattia,,0,,,
Tiro (34),1:14:10.400,0:00:07.000,04/01/2025,Tiro,giovi,scanta,ricky,fabri,deba,scanta,Parata,8,,Noi,Sx
Palla persa (20),1:14:40.833,0:00:10.000,04/01/2025,Palla persa,giovi,scanta,ricky,fabri,deba,deba,Fuori,4,,,
Angolo (6),1:14:55.166,0:00:08.000,04/01/2025,Angolo,giovi,scanta,ricky,fabri,deba,,,,,Loro,
Tiro (35),1:14:54.300,0:00:07.000,04/01/2025,Tiro,giovi,scanta,ricky,fabri,deba,,Fuori,4,,Loro,Sx
Lancio (11),1:15:07.100,0:00:10.000,04/01/2025,Lancio,giovi,scanta,ricky,fabri,deba,,Fuori,,,Noi,
Palla persa (21),1:15:28.466,0:00:10.000,04/01/2025,Palla persa,giovi,scanta,fabri,deba,mattia,deba,Ripartenza,0,,,
1v1 (2),1:15:32.833,0:00:10.000,04/01/2025,,giovi,scanta,fabri,deba,mattia,,No Gol,,1v1,,
Tiro (36),1:15:35.800,0:00:07.000,04/01/2025,Tiro,giovi,scanta,fabri,deba,mattia,,Parata,6,,Loro,Dx
Tiro (37),1:15:54.000,0:00:07.000,04/01/2025,Tiro,giovi,scanta,fabri,deba,mattia,,Fuori,5,,Loro,Sx
Laterale (33),1:16:22.233,0:00:07.000,04/01/2025,Laterale,giovi,scanta,fabri,deba,mattia,,,1,,Loro,
Palla recuperata (27),1:16:31.800,0:00:10.000,04/01/2025,Palla recuperata,giovi,scanta,fabri,deba,mattia,fabri,,0,,,
Tiro (38),1:16:36.733,0:00:07.000,04/01/2025,Tiro,giovi,scanta,fabri,deba,mattia,,Parata,5,,Loro,Sx
Tiro (39),1:17:04.200,0:00:07.000,04/01/2025,Tiro,giovi,scanta,fabri,mattia,erick,,Parata,8,,Loro,Sx
Lancio (12),1:17:08.600,0:00:10.000,04/01/2025,Lancio,giovi,scanta,fabri,mattia,erick,,,,,Noi,
Tiro (40),1:17:15.200,0:00:07.000,04/01/2025,Tiro,giovi,scanta,digao,fabri,erick,scanta,Fuori,5,,Noi,Dx
Tiro (41),1:17:24.300,0:00:07.000,04/01/2025,Tiro,giovi,scanta,digao,fabri,erick,fabri,Ribattuto,4,,Loro,Dx
Angolo (7),1:17:40.233,0:00:08.000,04/01/2025,Angolo,giovi,erick,ricky,nic,digao,,,,,Loro,
Laterale (34),1:17:46.666,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,0,,Noi,
Laterale (35),1:17:51.633,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,0,,Loro,
Palla recuperata (28),1:18:15.633,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,ricky,nic,digao,diego jr,Fuori,2,,,
Laterale (36),1:18:40.100,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,0,,Noi,
Tiro (42),1:18:43.866,0:00:07.000,04/01/2025,Tiro,giovi,erick,ricky,nic,digao,erick,Parata,4,,Noi,Sx
Angolo (8),1:19:01.533,0:00:08.000,04/01/2025,Angolo,giovi,erick,ricky,nic,digao,,,,,Noi,
Tiro (43),1:19:08.600,0:00:07.000,04/01/2025,Tiro,giovi,erick,ricky,nic,digao,erick,Ribattuto,5,,Noi,Sx
Palla persa (22),1:19:17.933,0:00:10.000,04/01/2025,Palla persa,giovi,erick,ricky,nic,digao,nic,Fuori,0,,,
Lancio (13),1:19:31.466,0:00:10.000,04/01/2025,Lancio,giovi,erick,ricky,nic,digao,,Intercetto,,,Loro,
Laterale (37),1:19:45.100,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,1,,Loro,
Palla recuperata (29),1:19:52.600,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,ricky,nic,digao,nic,Fuori,1,,,
Laterale (38),1:20:13.533,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,0,,Noi,
Palla persa (23),1:20:28.366,0:00:10.000,04/01/2025,Palla persa,giovi,erick,ricky,nic,digao,digao,,0,,,
Laterale (39),1:20:56.966,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,1,,Loro,
Tiro (44),1:21:04.333,0:00:07.000,04/01/2025,Tiro,giovi,erick,ricky,nic,digao,ricky,Ribattuto,9,,Loro,Dx
Laterale (40),1:21:32.533,0:00:07.000,04/01/2025,Laterale,giovi,deba,ricky,nic,digao,,,0,,Noi,
Laterale (41),1:22:12.966,0:00:07.000,04/01/2025,Laterale,giovi,deba,ricky,nic,digao,,,0,,Loro,
Palla recuperata (30),1:22:21.433,0:00:10.000,04/01/2025,Palla recuperata,giovi,deba,ricky,nic,digao,digao,Costruzione,0,,,
Palla persa (24),1:22:29.366,0:00:10.000,04/01/2025,Palla persa,giovi,deba,ricky,nic,digao,ricky,,0,,,
Lancio (14),1:22:44.366,0:00:10.000,04/01/2025,Lancio,giovi,deba,ricky,nic,digao,,Intercetto,,,Noi,
Palla recuperata (31),1:23:17.200,0:00:10.000,04/01/2025,Palla recuperata,giovi,nic,digao,deba,fabri,fabri,,0,,,
Palla recuperata (32),1:23:30.633,0:00:10.000,04/01/2025,Palla recuperata,giovi,nic,digao,deba,fabri,nic,Fuori,0,,,
Laterale (42),1:23:41.933,0:00:07.000,04/01/2025,Laterale,giovi,digao,deba,fabri,scanta,,,0,,Noi,
Palla persa (25),1:23:47.666,0:00:10.000,04/01/2025,Palla persa,giovi,digao,deba,fabri,scanta,digao,Costruzione,0,,,
Tiro (45),1:23:59.366,0:00:07.000,04/01/2025,Tiro,giovi,digao,deba,fabri,scanta,,Parata,9,,Loro,Dx
Tiro (46),1:24:02.700,0:00:07.000,04/01/2025,Tiro,giovi,digao,deba,fabri,scanta,fabri,Ribattuto,8,,Loro,Dx
Laterale (43),1:24:15.366,0:00:07.000,04/01/2025,Laterale,giovi,digao,deba,fabri,scanta,,,4,,Loro,
Tiro (47),1:24:18.866,0:00:07.000,04/01/2025,Tiro,giovi,mattia,deba,fabri,scanta,,Parata,7,,Loro,Dx
Lancio (15),1:24:23.566,0:00:10.000,04/01/2025,Lancio,giovi,mattia,deba,fabri,scanta,,,,,Noi,
Palla recuperata (33),1:24:32.733,0:00:10.000,04/01/2025,Palla recuperata,giovi,mattia,deba,fabri,scanta,fabri,Costruzione,0,,,
Palla persa (26),1:24:37.333,0:00:10.000,04/01/2025,Palla persa,giovi,mattia,deba,fabri,scanta,fabri,,3,,,
Tiro (48),1:24:40.633,0:00:07.000,04/01/2025,Tiro,giovi,mattia,deba,fabri,scanta,,Parata,5,,Loro,Sx
Laterale (44),1:24:59.766,0:00:07.000,04/01/2025,Laterale,giovi,mattia,deba,fabri,scanta,,,0,,Noi,
Tiro (49),1:25:07.966,0:00:07.000,04/01/2025,Tiro,giovi,mattia,deba,fabri,scanta,bara,Parata,3,,Noi,Dx
Tiro (50),1:25:14.333,0:00:07.000,04/01/2025,Tiro,giovi,mattia,deba,fabri,scanta,,Gol,0,,Loro,Dx
Gol (3),1:25:46.433,0:00:07.000,04/01/2025,Gol,giovi,deba,fabri,scanta,mattia,,,6,,Loro,Sx
Inizio (2),1:26:13.000,0:00:10.000,04/01/2025,Inizio,giovi,deba,fabri,scanta,mattia,,,,,,
Tiro (51),1:26:21.866,0:00:07.000,04/01/2025,Tiro,giovi,deba,fabri,scanta,mattia,scanta,Ribattuto,9,,Noi,Dx
Angolo (9),1:26:36.400,0:00:08.000,04/01/2025,Angolo,giovi,fabri,scanta,mattia,ricky,,,,,Noi,
Tiro (52),1:26:37.666,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,mattia,ricky,fabri,Ribattuto,3,,Noi,Dx
Laterale (45),1:26:47.833,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,mattia,ricky,,,4,,Noi,
Lancio (16),1:26:55.733,0:00:10.000,04/01/2025,Lancio,giovi,fabri,scanta,mattia,ricky,,,,,Noi,
Lancio (17),1:27:15.166,0:00:10.000,04/01/2025,Lancio,giovi,fabri,scanta,mattia,ricky,,,,,Noi,
Palla persa (27),1:27:27.600,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,scanta,mattia,ricky,scanta,,2,,,
Laterale (46),1:27:56.900,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,mattia,ricky,,,3,,Loro,
Palla recuperata (34),1:28:00.566,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,scanta,mattia,ricky,scanta,Tiro,3,,,
Tiro (53),1:28:03.633,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,mattia,ricky,scanta,Parata,9,,Noi,Dx
Angolo (10),1:28:22.433,0:00:08.000,04/01/2025,Angolo,giovi,fabri,scanta,mattia,ricky,,,,,Noi,
Laterale (47),1:28:36.333,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,mattia,ricky,,,0,,Noi,
Laterale (48),1:28:44.100,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,mattia,ricky,,,1,,Loro,
Palla recuperata (35),1:28:47.933,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,scanta,mattia,ricky,scanta,,0,,,
Laterale (49),1:28:57.733,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,mattia,ricky,,,0,,Noi,
Palla recuperata (36),1:29:17.900,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,scanta,erick,ricky,ricky,,1,,,
Palla persa (28),1:29:31.800,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,scanta,erick,ricky,erick,,0,,,
Laterale (50),1:29:48.766,0:00:07.000,04/01/2025,Laterale,giovi,ricky,erick,digao,nic,,,0,,Noi,
Laterale (51),1:29:58.900,0:00:07.000,04/01/2025,Laterale,giovi,ricky,erick,digao,nic,,,3,,Loro,
Tiro (54),1:30:06.966,0:00:07.000,04/01/2025,Tiro,giovi,ricky,erick,digao,nic,,Fuori,2,,Loro,Sx
Lancio (18),1:30:14.766,0:00:10.000,04/01/2025,Lancio,giovi,ricky,erick,digao,nic,,Intercetto,,,Noi,
Tiro (55),1:30:18.066,0:00:07.000,04/01/2025,Tiro,giovi,ricky,erick,digao,nic,nic,Parata,5,,Loro,Sx
Tiro (56),1:30:38.066,0:00:07.000,04/01/2025,Tiro,giovi,ricky,erick,digao,nic,ricky,Parata,5,,Noi,Dx
Angolo (11),1:30:58.866,0:00:08.000,04/01/2025,Angolo,giovi,ricky,erick,digao,nic,,,,,Noi,
Palla recuperata (37),1:31:23.166,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,digao,nic,deba,digao,,3,,,
Fallo (10),1:31:28.733,0:00:04.000,04/01/2025,Fallo,giovi,erick,digao,nic,deba,digao,,6,,Loro,
Ammonizione (3),1:31:33.600,0:00:10.000,04/01/2025,Ammonizione,giovi,erick,digao,nic,deba,,,,,Loro,
Punizione (6),1:32:07.633,0:00:06.000,04/01/2025,Punizione,giovi,erick,deba,mattia,fabri,mattia,Tiro,6,,Noi,Sx
Tiro (57),1:32:14.033,0:00:07.000,04/01/2025,Tiro,giovi,erick,deba,mattia,fabri,fabri,Fuori,4,,Noi,Dx
Lancio (19),1:32:36.666,0:00:10.000,04/01/2025,Lancio,giovi,erick,deba,mattia,fabri,,Intercetto,,,Loro,
Angolo (12),1:32:47.800,0:00:08.000,04/01/2025,Angolo,giovi,erick,deba,fabri,digao,,,,,Loro,
Palla recuperata (38),1:32:46.833,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,deba,fabri,digao,deba,Costruzione,0,,,
Palla persa (29),1:33:01.133,0:00:10.000,04/01/2025,Palla persa,giovi,erick,deba,fabri,digao,erick,,0,,,
Tiro (58),1:33:20.300,0:00:07.000,04/01/2025,Tiro,giovi,erick,deba,fabri,digao,fabri,Ribattuto,2,,Loro,Dx
Palla recuperata (39),1:33:33.833,0:00:10.000,04/01/2025,Palla recuperata,giovi,erick,deba,fabri,digao,digao,Fuori,0,,,
Lancio (20),1:33:54.600,0:00:10.000,04/01/2025,Lancio,giovi,erick,deba,fabri,digao,,,,,Noi,
Tiro (59),1:34:06.733,0:00:07.000,04/01/2025,Tiro,giovi,erick,deba,fabri,digao,,Parata,8,,Loro,Sx
Laterale (52),1:34:35.600,0:00:07.000,04/01/2025,Laterale,giovi,nic,deba,fabri,digao,,,0,,Loro,
Palla recuperata (40),1:34:43.133,0:00:10.000,04/01/2025,Palla recuperata,giovi,nic,deba,fabri,digao,mattia,Fuori,0,,,
Laterale (53),1:34:48.233,0:00:07.000,04/01/2025,Laterale,giovi,nic,deba,fabri,digao,,,3,,Loro,
Laterale (54),1:35:14.900,0:00:07.000,04/01/2025,Laterale,giovi,nic,deba,fabri,digao,,,0,,Noi,
Timeout (2),1:35:21.933,0:00:10.000,04/01/2025,Timeout,giovi,nic,deba,fabri,digao,,,,,Loro,
Parata (1),1:36:59.733,0:00:10.000,04/01/2025,Parata,giovi,fabri,digao,scanta,ricky,,,,,Noi,
Angolo (13),1:37:04.933,0:00:08.000,04/01/2025,Angolo,giovi,fabri,digao,scanta,ricky,,,,,Loro,
Laterale (55),1:37:11.000,0:00:07.000,04/01/2025,Laterale,giovi,fabri,digao,scanta,ricky,,,1,,Loro,
Palla recuperata (41),1:37:19.666,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,digao,scanta,ricky,scanta,,0,,,
Laterale (56),1:37:45.433,0:00:07.000,04/01/2025,Laterale,giovi,fabri,digao,scanta,ricky,,,4,,Noi,
Laterale (57),1:38:21.600,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,ricky,nic,,,0,,Loro,
Fallo (11),1:38:51.066,0:00:04.000,04/01/2025,Fallo,giovi,fabri,scanta,ricky,nic,fabri,,0,,Loro,
Tiro (60),1:39:37.533,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,ricky,nic,,Fuori,8,,Loro,Dx
Palla persa (30),1:39:53.433,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,scanta,ricky,nic,scanta,,0,,,
Tiro (61),1:39:55.266,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,ricky,nic,fabri,Ribattuto,5,,Loro,Dx
Angolo (14),1:40:05.100,0:00:08.000,04/01/2025,Angolo,giovi,fabri,scanta,ricky,nic,,,,,Loro,
5v4 (1),1:40:09.466,0:00:10.000,04/01/2025,5v4,giovi,fabri,scanta,ricky,nic,,,,,Loro,
Laterale (58),1:40:18.733,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,ricky,nic,,,6,,Loro,
5v4 (2),1:40:23.900,0:00:10.000,04/01/2025,5v4,giovi,fabri,scanta,ricky,nic,,,,,Loro,
Tiro (62),1:40:53.866,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,ricky,nic,,Fuori,6,,Loro,Dx
Laterale (59),1:41:08.666,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,ricky,nic,,,0,,Loro,
5v4 (3),1:41:14.933,0:00:10.000,04/01/2025,5v4,giovi,fabri,scanta,ricky,nic,,,,,Loro,
Palla recuperata (42),1:41:31.033,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,scanta,ricky,nic,ricky,Fuori,0,,,
Laterale (60),1:41:46.033,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,nic,digao,,,0,,Noi,
Tiro (63),1:41:56.100,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,nic,digao,digao,Fuori,5,,Noi,Dx
Fallo (12),1:42:07.566,0:00:04.000,04/01/2025,Fallo,giovi,fabri,scanta,nic,digao,nic,,1,,Loro,
Lancio (21),1:42:30.466,0:00:10.000,04/01/2025,Lancio,giovi,fabri,scanta,nic,digao,,,,,Noi,
Laterale (61),1:43:05.166,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,nic,digao,,,4,,Noi,
Palla persa (31),1:43:11.266,0:00:10.000,04/01/2025,Palla persa,giovi,fabri,scanta,nic,digao,erick,,0,,,
Palla recuperata (43),1:43:13.833,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,scanta,nic,digao,scanta,Fuori,0,,,
Laterale (62),1:43:23.866,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,nic,digao,,,1,,Loro,
5v4 (4),1:43:26.700,0:00:10.000,04/01/2025,5v4,giovi,fabri,scanta,nic,digao,,,,,Loro,
Palla recuperata (44),1:43:36.666,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,scanta,nic,digao,scanta,Fuori,0,,,
Laterale (63),1:43:48.966,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,nic,digao,,,0,,Loro,
5v4 (5),1:43:52.866,0:00:10.000,04/01/2025,5v4,giovi,fabri,scanta,nic,digao,,,,,Loro,
Tiro (64),1:44:02.100,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,nic,digao,fabri,Ribattuto,9,,Loro,Dx
Laterale (64),1:44:10.433,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,nic,digao,,,6,,Loro,
Palla recuperata (45),1:44:13.933,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,scanta,nic,digao,fabri,Tiro,0,,,
Tiro (65),1:44:16.166,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,nic,digao,fabri,Fuori,0,,Noi,Dx
Palla recuperata (46),1:44:32.466,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,scanta,nic,digao,digao,Fuori,1,,,
5v4 (6),1:44:44.500,0:00:10.000,04/01/2025,5v4,giovi,fabri,scanta,nic,digao,,,,,Loro,
Tiro (66),1:44:50.800,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,nic,digao,nic,Ribattuto,2,,Loro,Dx
Laterale (65),1:44:58.866,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,nic,digao,,,1,,Loro,
5v4 (7),1:45:02.366,0:00:10.000,04/01/2025,5v4,giovi,fabri,scanta,nic,digao,,,,,Loro,
Tiro (67),1:45:10.700,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,nic,digao,,Fuori,4,,Loro,Dx
Lancio (22),1:45:23.600,0:00:10.000,04/01/2025,Lancio,giovi,fabri,scanta,nic,digao,,Intercetto,,,Noi,
Fallo (13),1:45:30.400,0:00:04.000,04/01/2025,Fallo,giovi,fabri,scanta,nic,digao,digao,,2,,Noi,
5v4 (8),1:45:53.433,0:00:10.000,04/01/2025,5v4,giovi,fabri,scanta,nic,digao,,,,,Loro,
Palla recuperata (47),1:45:58.433,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,scanta,nic,digao,fabri,Fuori,0,,,
Lancio (23),1:46:05.600,0:00:10.000,04/01/2025,Lancio,giovi,fabri,scanta,nic,digao,,,,,Noi,
Tiro (68),1:46:09.266,0:00:07.000,04/01/2025,Tiro,giovi,fabri,scanta,nic,digao,nic,Fuori,8,,Noi,Dx
Laterale (66),1:46:34.700,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,nic,digao,,,0,,Noi,
Fallo (14),1:46:42.466,0:00:04.000,04/01/2025,Fallo,giovi,fabri,scanta,nic,digao,nic,,2,,Loro,
Laterale (67),1:47:16.133,0:00:07.000,04/01/2025,Laterale,giovi,fabri,scanta,nic,digao,,,0,,Loro,
Espulsione (3),1:47:27.666,0:00:10.000,04/01/2025,Espulsione,giovi,fabri,scanta,nic,digao,,,,,Loro,
Espulsione (4),1:48:53.166,0:00:10.000,04/01/2025,Espulsione,giovi,fabri,nic,digao,,scanta,,,,Noi,
Laterale (68),1:48:59.366,0:00:07.000,04/01/2025,Laterale,giovi,fabri,nic,digao,,,,0,,Loro,
Palla recuperata (48),1:49:04.000,0:00:10.000,04/01/2025,Palla recuperata,giovi,fabri,nic,digao,,nic,Fuori,0,,,
Angolo (15),1:49:23.300,0:00:08.000,04/01/2025,Angolo,giovi,fabri,nic,digao,,,,,,Loro,
Tiro (69),1:49:30.266,0:00:07.000,04/01/2025,Tiro,giovi,fabri,nic,digao,,bara,Gol,0,,Noi,Dx
Gol (4),1:49:33.300,0:00:07.000,04/01/2025,Gol,giovi,fabri,nic,digao,,bara,,0,,Noi,Dx
Fine partita (1),1:49:30.066,0:00:10.000,04/01/2025,Fine partita,giovi,fabri,nic,digao,,,,,,,